Column1,Column2,Column3,date,hour,min,sec,Week number,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
17.241.75.79,-,-,30-Apr-24,8,22,8,3,-0500],GET /malayalammp3/~Praise_You_alone_deserve HTTP/1.1,200,2711,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML,,
17.241.227.9,-,-,30-Apr-24,10,13,37,3,-0500],GET /malayalammp3/~Shibinu_-_MIDAAD_-_Yaanabi_Salaam_Yaarasool_Salaam HTTP/1.1,200,2783,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML,,
17.241.75.91,-,-,30-Apr-24,10,56,14,3,-0500],GET /malayalammp3/~Kanz%3A_Hritubhetham_-_Hrithu_sankramapakshi_paadi... HTTP/1.1,200,2794,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML,,
17.241.219.78,-,-,30-Apr-24,11,8,43,3,-0500],GET /malayalammp3/~Rasaleela_%3A_ManakkaleThathe HTTP/1.1,200,2740,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML,,
17.241.227.81,-,-,30-Apr-24,11,55,58,3,-0500],GET /malayalammp3/~Akkare_Ninnoru_Pennu_Vannu_-_Kavalmadam HTTP/1.1,200,2762,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML,,
40.77.167.76,-,-,30-Apr-24,12,17,49,3,-0500],GET /malayalammp3/Naranathu_branthan__Pathradu_makkale HTTP/1.1,200,2747,-,Mozilla/5.0 AppleWebKit/537.36 (KHTML,,
17.241.75.144,-,-,30-Apr-24,15,2,38,3,-0500],GET /malayalammp3/~Athyunnathan_-_Jesusse_Kalvari_Ma-_malayil HTTP/1.1,200,2768,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML,,
17.241.75.221,-,-,30-Apr-24,15,44,43,3,-0500],GET /malayalammp3/~Christian_Hindi-_Prarthana_me HTTP/1.1,200,2725,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML,,
40.77.167.25,-,-,30-Apr-24,19,21,11,3,-0500],GET /malayalammp3/~Anveshanam_%3A_PanchamiChandrika HTTP/1.1,200,2733,-,Mozilla/5.0 AppleWebKit/537.36 (KHTML,,
52.167.144.24,-,-,30-Apr-24,21,50,27,3,-0500],GET /malayalammp3/~Chembai_Vaidyanathan_-_Manavyala HTTP/1.1,200,2739,-,Mozilla/5.0 AppleWebKit/537.36 (KHTML,,
40.77.167.54,-,-,30-Apr-24,23,35,14,3,-0500],GET /malayalammp3/~Swathithirunal-1987-Parvathi_nayana HTTP/1.1,200,2749,-,Mozilla/5.0 AppleWebKit/537.36 (KHTML,,
17.241.219.80,-,-,30-Apr-24,23,51,48,3,-0500],GET /malayalammp3/~SHAHEENSHA_CHOOLPURAM_-_GURUVAYOOR-_Sundari_nee_vannu_ghazal HTTP/1.1,200,2887,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML,,
