Datetime,AEP,COMED,DAYTON,DEOK,DOM,DUQ,EKPC,FE,NI,PJME,PJMW,PJM_Load
2011-09-30 01:00:00,12643.0,9380.0,1489.0,,7973.0,1367.0,,6238.0,,24844.0,4181.0,
2011-09-30 02:00:00,12046.0,8846.0,1409.0,,7564.0,1332.0,,5992.0,,23527.0,3992.0,
2011-09-30 03:00:00,11857.0,8532.0,1379.0,,7316.0,1311.0,,5868.0,,22818.0,3898.0,
2011-09-30 04:00:00,11720.0,8318.0,1374.0,,7188.0,1273.0,,5769.0,,22530.0,3866.0,
2011-09-30 05:00:00,11861.0,8279.0,1392.0,,7335.0,1296.0,,5888.0,,22870.0,3902.0,
2011-09-30 06:00:00,12550.0,8436.0,1511.0,,7929.0,1372.0,,6202.0,,24571.0,4163.0,
2011-09-30 07:00:00,13816.0,9075.0,1722.0,,9018.0,1491.0,,6962.0,,27845.0,4702.0,
2011-09-30 08:00:00,14550.0,10224.0,1862.0,,9527.0,1559.0,,7496.0,,29475.0,4932.0,
2011-09-30 09:00:00,14695.0,10810.0,1885.0,,9824.0,1582.0,,7593.0,,30636.0,4923.0,
2011-09-30 10:00:00,14930.0,10998.0,1916.0,,10196.0,1638.0,,7699.0,,31836.0,5016.0,
2011-09-30 11:00:00,15088.0,11104.0,1946.0,,10667.0,1666.0,,7772.0,,32906.0,5148.0,
2011-09-30 12:00:00,15017.0,11232.0,1946.0,,11046.0,1706.0,,7776.0,,33692.0,5223.0,
2011-09-30 13:00:00,15087.0,11214.0,1945.0,,11349.0,1713.0,,7746.0,,34109.0,5185.0,
2011-09-30 14:00:00,14918.0,11247.0,1934.0,,11573.0,1705.0,,7763.0,,34475.0,5162.0,
2011-09-30 15:00:00,14890.0,11270.0,1902.0,,11668.0,1685.0,,7640.0,,34509.0,5122.0,
2011-09-30 16:00:00,14673.0,11127.0,1850.0,,11669.0,1677.0,,7547.0,,34177.0,5031.0,
2011-09-30 17:00:00,14515.0,10950.0,1832.0,,11576.0,1740.0,,7351.0,,33796.0,5005.0,
2011-09-30 18:00:00,14496.0,10839.0,1798.0,,11246.0,1646.0,,7340.0,,33311.0,5003.0,
2011-09-30 19:00:00,14425.0,10734.0,1775.0,,10913.0,1651.0,,7332.0,,32891.0,5016.0,
2011-09-30 20:00:00,14737.0,11025.0,1833.0,,10915.0,1656.0,,7535.0,,33220.0,5159.0,
2011-09-30 21:00:00,14891.0,11305.0,1862.0,,10425.0,1628.0,,7537.0,,32024.0,5043.0,
2011-09-30 22:00:00,14583.0,11111.0,1810.0,,9745.0,1580.0,,7366.0,,30484.0,4869.0,
2011-09-30 23:00:00,13916.0,10746.0,1706.0,,9019.0,1485.0,,7000.0,,28274.0,4545.0,
2011-09-29 01:00:00,12577.0,9352.0,1519.0,,8661.0,1401.0,,6472.0,,28247.0,4331.0,
2011-09-29 02:00:00,12029.0,8807.0,1452.0,,8139.0,1352.0,,6237.0,,26765.0,4135.0,
